companyName,companySize,companyRevenue
Toll Brothers,"5,100","$8,790.00"
Carlyle Group,"1,850","$8,782.00"
Graybar Electric,"8,800","$8,767.00"
Ovintiv,"1,713","$8,658.00"
UFP Industries,"15,000","$8,636.00"
Ulta Beauty,"28,500","$8,631.00"
Constellation Brands,"9,300","$8,615.00"
Expedia Group,"14,800","$8,598.00"
CommScope Holding,"30,000","$8,587.00"
Celanese,"8,529","$8,537.00"
Global Payments,"25,000","$8,524.00"
Owens Corning,"20,000","$8,498.00"
Campbell Soup,"14,100","$8,476.00"
Huntsman,"9,000","$8,453.00"
Franklin Resources,"10,300","$8,426.00"
Avery Dennison,"36,000","$8,408.00"
Masco,"20,000","$8,375.00"
CenterPoint Energy,"9,418","$8,352.00"
Fifth Third Bancorp,"19,112","$8,329.00"
WEC Energy Group,"6,938","$8,316.00"
S&P Global,"22,850","$8,297.00"
FM Global,"5,560","$8,275.00"
Polaris,"16,000","$8,252.00"
Williams-Sonoma,"16,600","$8,246.00"
Autoliv,"58,176","$8,230.00"
Arthur J. Gallagher,"39,000","$8,209.00"
Motorola Solutions,"18,700","$8,171.00"
Zillow Group,"8,005","$8,147.00"
Opendoor Technologies,"2,816","$8,021.00"
J.M. Smucker,"7,100","$8,003.00"
Anywhere Real Estate,"9,748","$7,983.00"
Oshkosh,"15,000","$7,953.00"
MasTec,"27,000","$7,952.00"
GXO Logistics,"97,500","$7,940.00"
APA,"2,253","$7,928.00"
Boise Cascade,"6,130","$7,926.00"
Dover,"25,000","$7,907.00"
Genworth Financial,"2,500","$7,882.00"
Bath & Body Works,"32,850","$7,882.00"
Booz Allen Hamilton Holding,"27,700","$7,859.00"
Coinbase Global,"3,730","$7,839.00"
Zimmer Biomet Holdings,"19,500","$7,836.00"
Westinghouse Air Brake Technologies,"25,000","$7,822.00"
Zoetis,"12,100","$7,776.00"
Packaging Corp. of America,"15,200","$7,730.00"
LPL Financial Holdings,"5,919","$7,721.00"
T. Rowe Price,"7,529","$7,672.00"
Fortune Brands Home & Security,"28,056","$7,656.00"
Casey's General Stores,"27,583","$7,654.00"
A-Mark Precious Metals,347,"$7,613.00"
Hess,"1,545","$7,583.00"
Vertex Pharmaceuticals,"3,900","$7,574.00"
KeyCorp,"16,974","$7,561.00"
Chipotle Mexican Grill,"97,660","$7,547.00"
CMS Energy,"8,813","$7,538.00"
Arconic,"13,900","$7,504.00"
Taylor Morrison Home,"3,000","$7,501.00"
American Financial Group,"6,600","$7,462.00"
UGI,"11,300","$7,447.00"
Science Applications International,"25,090","$7,394.00"
Avantor,"13,500","$7,386.00"
Hanesbrands,"58,000","$7,348.00"
Clorox,"9,000","$7,341.00"
KBR,"28,000","$7,339.00"
TravelCenters of America,"16,540","$7,337.00"
Hertz Global Holdings,"23,000","$7,336.00"
Analog Devices,"24,700","$7,318.00"
Securian Financial Group,"6,941","$7,317.00"
Darden Restaurants,"156,883","$7,196.00"
Graphic Packaging Holding,"25,000","$7,156.00"
NCR,"38,000","$7,156.00"
Brighthouse Financial,"1,500","$7,142.00"
PPL,"5,607","$7,127.00"
Cintas,"40,000","$7,116.00"
Xerox Holdings,"23,300","$7,038.00"
Rockwell Automation,"24,500","$6,997.00"
Citizens Financial Group,"17,463","$6,986.00"
KLA,"11,425","$6,919.00"
Camping World Holdings,"12,834","$6,914.00"
Ingredion,"12,000","$6,894.00"
Veritiv,"6,100","$6,851.00"
Beacon Roofing Supply,"6,676","$6,820.00"
Diamondback Energy,870,"$6,797.00"
Victoria's Secret,"24,000","$6,785.00"
Academy Sports and Outdoors,"16,508","$6,773.00"
Sanmina,"33,500","$6,757.00"
ON Semiconductor,"31,650","$6,740.00"
Commercial Metals,"11,089","$6,730.00"
EnLink Midstream,"1,073","$6,686.00"
Southwestern Energy,938,"$6,667.00"
Equinix,"10,944","$6,636.00"
Dillard's,"25,350","$6,624.00"
Regions Financial,"19,626","$6,605.00"
Yum Brands,"25,650","$6,584.00"
Landstar System,"1,399","$6,540.00"
CF Industries Holdings,"3,003","$6,538.00"
Northern Trust,"21,100","$6,488.00"
Robert Half International,"14,600","$6,461.00"
Compass,"4,775","$6,421.00"
Hasbro,"6,640","$6,420.00"
Roper Technologies,"19,300","$6,416.00"
ARKO,"11,236","$6,413.00"
Frontier Communications,"15,640","$6,411.00"
Ameren,"9,116","$6,394.00"
O-I Glass,"24,000","$6,357.00"
Chemours,"6,400","$6,345.00"
Crown Castle International,"5,000","$6,340.00"
Agilent Technologies,"17,000","$6,319.00"
McCormick,"14,000","$6,318.00"
Skechers U.S.A.,"8,950","$6,310.00"
Watsco,"6,875","$6,280.00"
Live Nation Entertainment,"16,200","$6,268.00"
Lululemon athletica,"29,000","$6,257.00"
ABM Industries,"124,000","$6,229.00"
Post Holdings,"10,735","$6,227.00"
Moody's,"13,460","$6,218.00"
Select Medical Holdings,"43,200","$6,205.00"
